name,url,test_type,description,duration,adaptive_support,remote_support
Apache Hadoop Extensions (New),https://www.shl.com/products/product-catalog/view/apache-hadoop-extensions-new/,K,"Apache Hadoop Extensions (New): Multi-choice test that measures the conceptual knowledge of Pig, Hive and HBase.",Approximate Completion Time in minutes = 9,No,Yes
Apache HBase (New),https://www.shl.com/products/product-catalog/view/apache-hbase-new/,K,"Apache HBase (New): Multi-choice test that measures the knowledge of HBase concepts such as CAP theorem, ACID properties, HBase client API, MapReduce integration, configuration…",Approximate Completion Time in minutes = 5,No,Yes
Apache Hive (New),https://www.shl.com/products/product-catalog/view/apache-hive-new/,K,"Apache Hive (New): Multi-choice test that measures the knowledge of Hive architecture, datatypes, built-in functions, configurations, partitioning, bucketing and commands of Hive…",Approximate Completion Time in minutes = 5,No,Yes
Apache Kafka (New),https://www.shl.com/products/product-catalog/view/apache-kafka-new/,K,"Apache Kafka (New): Multi-choice test that measures the knowledge of Apache Kafka architecture, components, clusters, performance tuning and advanced operations.",Approximate Completion Time in minutes = 6,No,Yes
Apache Pig (New),https://www.shl.com/products/product-catalog/view/apache-pig-new/,K,"Apache Pig (New): Multi-choice test that measures the knowledge of Pig architecture, built-in operators, built-in functions and commands in PigLatin.",Approximate Completion Time in minutes = 6,No,Yes
Apache Spark (New),https://www.shl.com/products/product-catalog/view/apache-spark-new/,K,"Apache Spark (New): Multi-choice test that measures the knowledge of Apache Spark principles, RDD operations - actions and transformations, lineage graphs and lazy evaluation.",Approximate Completion Time in minutes = 8,No,Yes
ASP .NET with C# (New),https://www.shl.com/products/product-catalog/view/asp-net-with-c-new/,K,"ASP .NET with C# (New): Multi-choice test that measures the knowledge of .NET framework and controls, C# fundamentals, OOPs concepts and advanced topics such as data access…",Approximate Completion Time in minutes = 13,No,Yes
ASP.NET 4.5,https://www.shl.com/products/product-catalog/view/asp-net-4-5/,K,"ASP.NET 4.5: The ASP.NET 4.5 test measures knowledge of programming in the ASP.NET environment. Designed for experienced developers, but an average performer in this role…",Approximate Completion Time in minutes = 30,No,Yes
Assessment and Development Center Exercises,https://www.shl.com/products/product-catalog/view/assessment-and-development-center-exercises/,E,"Assessment and Development Center Exercises: SHL offers a comprehensive range of Assessment and Development Centre exercise in digital format, for remote assessment through our Virtual Assessment and…",Approximate Completion Time in minutes = Variable,No,Yes
Automata - Fix (New),https://www.shl.com/products/product-catalog/view/automata-fix-new/,S,"Automata - Fix (New): A simulated compiler integrated test to measure debugging skills in C, C++ and Java. The test checks the ability to fix logical or syntactical errors and to…",Approximate Completion Time in minutes = max 20,No,Yes
Automata - SQL (New),https://www.shl.com/products/product-catalog/view/automata-sql-new/,S,"Automata - SQL (New): A simulated query writing test that measures the ability to write SQL queries to perform DDL, DML and DCL tasks.",Approximate Completion Time in minutes = max 30,No,Yes
Automata (New),https://www.shl.com/products/product-catalog/view/automata-new/,S,Automata (New): An AI-powered coding simulation assessment that evaluates candidate’s programming ability. Offers a familiar IDE environment available in over 40 different…,Approximate Completion Time in minutes = max 45,No,Yes
General Entry Level - All Industries 7.1(Americas),https://www.shl.com/products/product-catalog/view/general-entry-level-all-industries-7-1%28americas%29/,B,General Entry Level - All Industries 7.1(Americas): Our General Entry Level – All Industries 7.1 solution is designed for entry-level positions across industries. This solution predicts the following types of…,Approximate Completion Time in minutes = 19,No,Yes
Graduate + 8.0 Job Focused Assessment,https://www.shl.com/products/product-catalog/view/graduate-8-0-job-focused-assessment/,"A,B,P","Graduate + 8.0 Job Focused Assessment: The Graduate + 8.0 Job Focused Assessment is a short, targeted, globally applicable assessment which includes a short cognitive ability measure. It helps you…",Approximate Completion Time in minutes = 30 minutes,No,Yes
Graduate 7.1 Job Focused Assessment,https://www.shl.com/products/product-catalog/view/graduate-7-1-job-focused-assessment/,"B,C",Graduate 7.1 Job Focused Assessment: The Graduate 7.1 Job Focused Assessment is designed for professional level positions appropriate for recent college graduates.,Approximate Completion Time in minutes = 19,No,Yes
Graduate 8.0 Job Focused Assessment,https://www.shl.com/products/product-catalog/view/graduate-8-0-job-focused-assessment-4228/,"P,B","Graduate 8.0 Job Focused Assessment : The Graduate 8.0 Job Focused Assessment is a short, targeted, globally applicable assessment to help you identify graduates with the highest potential to…",Approximate Completion Time in minutes = 20 minutes,No,Yes
Automata Data Science (New),https://www.shl.com/products/product-catalog/view/automata-data-science-new/,S,Automata Data Science (New): A simulated test that measures the ability to analyze and modify data using machine learning algorithms to obtain desirable results.,Approximate Completion Time in minutes = max 60,No,Yes
Automata Data Science Pro (New),https://www.shl.com/products/product-catalog/view/automata-data-science-pro-new/,S,Automata Data Science Pro (New): A simulated test that measures the ability to analyze and modify data using machine learning algorithms to obtain desirable results.,Approximate Completion Time in minutes = max 60,No,Yes
Automata Front End,https://www.shl.com/products/product-catalog/view/automata-front-end/,S,"Automata Front End: Simulation based test that measures the front-end development capabilities using HTML, CSS, and  JavaScript. The candidate is provided with 3 different…",Approximate Completion Time in minutes = 30 minutes,No,Yes
Automata Pro (New),https://www.shl.com/products/product-catalog/view/automata-pro-new/,S,Automata Pro (New): An AI-powered coding simulation assessment that evaluates candidate’s programming ability. Offers a familiar IDE environment available in over 40 different…,Approximate Completion Time in minutes = max 60,No,Yes
Automata Selenium,https://www.shl.com/products/product-catalog/view/automata-selenium/,S,Automata Selenium: A coding simulation assessment that evaluates the ability to conduct tasks related to automation testing using Selenium scripts.,Approximate Completion Time in minutes = 60,No,Yes
Automation Anywhere RPA Development (New),https://www.shl.com/products/product-catalog/view/automation-anywhere-rpa-development-new/,K,"Automation Anywhere RPA Development (New): Multi-choice test that measures the knowledge of Automation Anywhere dash board and task editor, control room, key commands, bots and Automation Anywhere…",Approximate Completion Time in minutes = 8,No,Yes
Automotive Engineering (New),https://www.shl.com/products/product-catalog/view/automotive-engineering-new/,K,"Automotive Engineering (New): Multi-choice test that measures the knowledge of auto engine classification, engine fuel system, auto-vehicle technology, maintenance, inspection and…",Approximate Completion Time in minutes = 13,No,Yes
Basic Biology (New),https://www.shl.com/products/product-catalog/view/basic-biology-new/,K,Basic Biology (New): Multi choice test that measures the candidate's basic understanding of Biology.,Approximate Completion Time in minutes = 6,No,Yes
Basic Computer Literacy (Windows 10) (New),https://www.shl.com/products/product-catalog/view/basic-computer-literacy-windows-10-new/,"S,K","Basic Computer Literacy (Windows 10) (New): The Basic Computer Literacy (Windows 10) simulation measures knowledge of general computer terminology, processes, and applications and the ability to perform…",Approximate Completion Time in minutes = 30,No,Yes
Basic Statistics (New),https://www.shl.com/products/product-catalog/view/basic-statistics-new/,K,"Basic Statistics (New): Multi-choice test that measures the knowledge of statistical methods, exploratory analysis, basics of probability, standard distributions and statistical…",Approximate Completion Time in minutes = 10,No,Yes
Biochemistry (New),https://www.shl.com/products/product-catalog/view/biochemistry-new/,K,"Biochemistry (New): Multi-choice test that measures the knowledge of various bio-molecules like amino acids, proteins, enzymes, carbohydrates, vitamins and nucleic acids, and…",Approximate Completion Time in minutes = 8,No,Yes
Biotech Lab Techniques (New),https://www.shl.com/products/product-catalog/view/biotech-lab-techniques-new/,K,"Biotech Lab Techniques (New): Multi-choice test that measures the knowledge of biophysical techniques, bio-processing and separation techniques like chromatography and electrophoresis.",Approximate Completion Time in minutes = 5,No,Yes
Industrial - Entry Level 7.1 (Americas),https://www.shl.com/products/product-catalog/view/industrial-entry-level-7-1-%28americas%29/,B,"Industrial - Entry Level 7.1 (Americas): Our Industrial – Entry Level 7.1 solution is designed for entry-level positions, and measures the behaviors and experiences that underlie successful and safe…",Approximate Completion Time in minutes = 20,No,Yes
Industrial - Entry Level 7.1 (International),https://www.shl.com/products/product-catalog/view/industrial-entry-level-7-1-%28international%29/,B,"Industrial - Entry Level 7.1 (International): Our Industrial – Entry Level 7.1 solution is designed for entry-level positions, and measures the behaviors and experiences that underlie successful and safe…",Approximate Completion Time in minutes = 20,No,Yes
BizTalk (New),https://www.shl.com/products/product-catalog/view/biztalk-new/,K,"BizTalk (New): Multi-choice test that measures the knowledge of BizTalk architecture, pipelines, adapters, business process techniques and BizTalk administration.",Approximate Completion Time in minutes = 16,No,Yes
Business Communication (adaptive),https://www.shl.com/products/product-catalog/view/business-communication-adaptive/,K,Business Communication (adaptive): This is an adaptive test that measures knowledge of communicating in the workplace. It measures the skills necessary to communicate effectively with coworkers…,Approximate Completion Time in minutes = 24,No,Yes
Business Communications,https://www.shl.com/products/product-catalog/view/business-communications/,K,Business Communications: This test measures the candidate's knowledge of communicating in the workplace.  It measures the skills necessary to communicate effectively with coworkers at…,Approximate Completion Time in minutes = 35,No,Yes
C Programming (New),https://www.shl.com/products/product-catalog/view/c-programming-new/,K,"C Programming (New): Multi-choice test that measures the knowledge of C programming basics, functions, arrays, composed data types, and advanced C concepts like SLF, file handling…",Approximate Completion Time in minutes = 10,No,Yes
C# Programming (New),https://www.shl.com/products/product-catalog/view/c-programming-new-4039/,K,"C# Programming (New): Multi-choice test that measures the knowledge of C# programming structure, functions, collections, enumeration, exception handling, OOPs constructs…",Approximate Completion Time in minutes = 9,No,Yes
C++ Programming (New),https://www.shl.com/products/product-catalog/view/c-programming-new-4122/,K,C++ Programming (New): Multi-choice test that measures the knowledge of programming in the C++ language and the ability to use the C++ standard library to write code.,Approximate Completion Time in minutes = 10,No,Yes
Cardiology and Diabetes Management (New),https://www.shl.com/products/product-catalog/view/cardiology-and-diabetes-management-new/,K,"Cardiology and Diabetes Management (New): Multi-choice test that measures the knowledge of how to control and manage cardiovascular diseases and diabetes, and understanding of the diagnostic tests used…",Approximate Completion Time in minutes = 4,No,Yes
Ceramic Engineering (New),https://www.shl.com/products/product-catalog/view/ceramic-engineering-new/,K,"Ceramic Engineering (New): Multi-choice test that measures the knowledge of classification of ceramic materials, production of ceramics and thermodynamics.",Approximate Completion Time in minutes = 12,No,Yes
Chemical Engineering (New),https://www.shl.com/products/product-catalog/view/chemical-engineering-new/,K,"Chemical Engineering (New): Multi-choice test that measures the conceptual knowledge of transport phenomena, chemical process engineering and technology, chemical process principles…",Approximate Completion Time in minutes = 13,No,Yes
Cisco AppDynamics (New),https://www.shl.com/products/product-catalog/view/cisco-appdynamics-new/,K,"Cisco AppDynamics (New): Multi-choice test that measures the knowledge of application analytics, performance management, and AppDynamics essentials like controller UI, custom…",Approximate Completion Time in minutes = 9,No,Yes
Civil Engineering (New),https://www.shl.com/products/product-catalog/view/civil-engineering-new/,K,"Civil Engineering (New): Multi-choice test that measures the knowledge of structural engineering, transportation engineering, surveying, geotechnical engineering and water resources…",Approximate Completion Time in minutes = 10,No,Yes
Cloud Computing (New),https://www.shl.com/products/product-catalog/view/cloud-computing-new/,K,"Cloud Computing (New): Multi-choice test that measures the knowledge of cloud computing concepts, cloud service models, virtualization and private clouds.",Approximate Completion Time in minutes = 8,No,Yes
Industrial - Semi-skilled 7.1 (Americas),https://www.shl.com/products/product-catalog/view/industrial-semi-skilled-7-1-%28americas%29/,B,Industrial - Semi-skilled 7.1 (Americas): Our Industrial – Semi-skilled 7.1 solution is designed for entry-level positions and measures the behaviors and experiences that underlie successful and safe…,Approximate Completion Time in minutes = 24,No,Yes
Industrial - Semi-skilled 7.1 (International),https://www.shl.com/products/product-catalog/view/industrial-semi-skilled-7-1-%28international%29/,B,Industrial - Semi-skilled 7.1 (International): Our Industrial – Semi-skilled 7.1 solution is designed for entry-level positions and measures the behaviors and experiences that underlie successful and safe…,Approximate Completion Time in minutes = 24,No,Yes
Industrial Professional and Skilled 7.1 (Americas),https://www.shl.com/products/product-catalog/view/industrial-professional-and-skilled-7-1-%28americas%29/,"A,B",Industrial Professional and Skilled 7.1 (Americas): Our Industrial – Professional and Skilled 7.1 solution is designed to measure the behaviors and experiences that underlie successful and safe performance in…,Approximate Completion Time in minutes = 49,No,Yes
COBOL Programming (New),https://www.shl.com/products/product-catalog/view/cobol-programming-new/,K,"COBOL Programming (New): Multi-choice test that measures the knowledge of COBOL programming fundamentals, programming structure and different types of application processing.",Approximate Completion Time in minutes = 10,No,Yes
Computer Science (New),https://www.shl.com/products/product-catalog/view/computer-science-new/,K,"Computer Science (New): Multi-choice test that measures the knowledge of operating system, computer architecture, DBMS and basics of computer networks and communication.",Approximate Completion Time in minutes = 12,No,Yes
Contact Center Call Simulation (New),https://www.shl.com/products/product-catalog/view/contact-center-call-simulation-new/,S,Contact Center Call Simulation (New): Simulation based test that measures the ability to handle customer concerns over a call by referring to standard process documents. It also measures typing and…,Approximate Completion Time in minutes = 15,No,Yes
Conversational Multichat Simulation,https://www.shl.com/products/product-catalog/view/conversational-multichat-simulation/,S,Conversational Multichat Simulation : This is a simulation-based test that measures the ability to handle customer concerns over multiple chats by referring to standard process documents. It…,Approximate Completion Time in minutes = 11,No,Yes
Core Java (Advanced Level) (New),https://www.shl.com/products/product-catalog/view/core-java-advanced-level-new/,K,"Core Java (Advanced Level) (New): Multi-choice test that measures the knowledge of basic Java constructs, OOP concepts, files and exception handling, and advanced Java concepts like generics…",Approximate Completion Time in minutes = 13,No,Yes
Core Java (Entry Level) (New),https://www.shl.com/products/product-catalog/view/core-java-entry-level-new/,K,"Core Java (Entry Level) (New): Multi-choice test that measures the knowledge of basic Java constructs, OOP concepts, file handling, exception handling, threads, generic class and inner class.",Approximate Completion Time in minutes = 13,No,Yes
Count Out The Money,https://www.shl.com/products/product-catalog/view/count-out-the-money/,"K,S",Count Out The Money: The Count out the Money –US test measures a candidate’s money handling ability. This test is designed for entry-level positions where handling money is…,Approximate Completion Time in minutes = 5,No,Yes
CSS3 (New),https://www.shl.com/products/product-catalog/view/css3-new/,K,CSS3 (New): Multi-choice test that measures the knowledge of CSS3 and its application in providing style to web documents.,Approximate Completion Time in minutes = 8,No,Yes
Culinary Skills (New),https://www.shl.com/products/product-catalog/view/culinary-skills-new/,K,"Culinary Skills (New): Multi-choice test that measures the knowledge of cooking principles, cooking equipment, meal preparation and presentation, and kitchen safety.",Approximate Completion Time in minutes = 7,No,Yes
Customer Service Phone Simulation,https://www.shl.com/products/product-catalog/view/customer-service-phone-simulation/,"B,S","Customer Service Phone Simulation: As part of Contact Center Simulations, the Customer Service Phone Simulation is designed for entry-level positions in a contact center environment. Sample…",Approximate Completion Time in minutes = 20,No,Yes
Cyber Risk (New),https://www.shl.com/products/product-catalog/view/cyber-risk-new/,K,"Cyber Risk (New): Multi-choice test that measures the knowledge of cyber risk management, system and application security, network security and security management.",Approximate Completion Time in minutes = 9,No,Yes
Manager + 7.1 (Americas),https://www.shl.com/products/product-catalog/view/manager-7-1-solution-4242/,"B,C,P","Manager + 7.1 (Americas): Our Manager + 7.1 solution is designed for candidates applying to entry-level leadership positions who tend to supervise salaried employees, and includes SHL’s…",Approximate Completion Time in minutes = 63,No,Yes
Manager + 7.1 (International),https://www.shl.com/products/product-catalog/view/manager-7-1-%28international%29/,"B,C,P","Manager + 7.1 (International): Our Manager + 7.1 solution is designed for candidates applying to entry-level leadership positions who tend to supervise salaried employees, and includes SHL’s…",Approximate Completion Time in minutes = 63,No,Yes
Manager 7.1 (Americas),https://www.shl.com/products/product-catalog/view/manager-7-1-%28americas%29/,"B,C,P",Manager 7.1 (Americas): Our Manager 7.1 solution is designed for candidates applying to entry-level leadership positions who tend to supervise salaried employees. Sample tasks for…,Approximate Completion Time in minutes = 40,No,Yes
Manager 7.1 (International),https://www.shl.com/products/product-catalog/view/manager-7-1-solution/,"B,C,P",Manager 7.1 (International): Our Manager 7.1 solution is designed for candidates applying to entry-level leadership positions who tend to supervise salaried employees. Sample tasks for…,Approximate Completion Time in minutes = 40,No,Yes
Manager 8.0 JFA,https://www.shl.com/products/product-catalog/view/manager-8-0-jfa/,"B,K,P",Manager 8.0 JFA: The Manager 8.0 Job-Focused Assessment is designed for candidates applying to their first leadership positions. It measures behaviors that underlie successful…,Approximate Completion Time in minutes = 26,No,Yes
Manager 8.0+ JFA,https://www.shl.com/products/product-catalog/view/manager-8-0-jfa-4310/,"B,K,P",Manager 8.0+ JFA: The Manager 8.0+ Job-Focused Assessment is designed for candidates applying to their first leadership positions and includes SHL’s new innovative mobile-first…,Approximate Completion Time in minutes = 44,No,Yes
Manufacturing Production Team Member,https://www.shl.com/products/product-catalog/view/manufacturing-production-team-member/,"A,B",Manufacturing Production Team Member: The Manufacturing Production Team Member solution is designed for entry-level positions to measure the behaviors and experiences that underlie successful and…,Approximate Completion Time in minutes = 35,No,Yes
Manufacturing Skilled Maintenance Worker,https://www.shl.com/products/product-catalog/view/manufacturing-skilled-maintenance-worker/,"A,B",Manufacturing Skilled Maintenance Worker: The Manufacturing Skilled Maintenance solution is designed for entry-level positions to measure the behaviors and experiences that underlie successful and safe…,Approximate Completion Time in minutes = 45,No,Yes
Data Entry (New),https://www.shl.com/products/product-catalog/view/data-entry-new/,S,Data Entry (New): Simulated data entry test that measures the ability to accurately transcribe data from pre-filled forms and the ability to verify pre-filled data.,Approximate Completion Time in minutes = 4,No,Yes
Data Entry Alphanumeric Split Screen - US,https://www.shl.com/products/product-catalog/view/data-entry-alphanumeric-split-screen-us/,K,Data Entry Alphanumeric Split Screen - US: The Data Entry Alphanumeric Split Screen - US assessment measures speed and accuracy at typing text and numbers into forms. The information includes…,Approximate Completion Time in minutes = 5,No,Yes
Data Entry Numeric Split Screen - US,https://www.shl.com/products/product-catalog/view/data-entry-numeric-split-screen-us/,K,Data Entry Numeric Split Screen - US: The Data Entry Numeric Split Screen - US assessment measures speed and accuracy at typing numbers into forms. The information candidates must enter includes…,Approximate Completion Time in minutes = 5,No,Yes
